mtry,AUC,algorithm,split
137,0.6969184702941756,opticlust_denovo,split_11
274,0.7000892901166798,opticlust_denovo,split_11
350,0.6992461061011086,opticlust_denovo,split_11
30,0.6897514931410377,opticlust_denovo,split_12
68,0.6991035580997851,opticlust_denovo,split_12
137,0.7040423221296858,opticlust_denovo,split_12
274,0.7081542408756599,opticlust_denovo,split_12
350,0.70688348367553,opticlust_denovo,split_12
30,0.6773223153351462,opticlust_denovo,split_13
68,0.6877268989778678,opticlust_denovo,split_13
137,0.691587360353784,opticlust_denovo,split_13
274,0.6970116101559558,opticlust_denovo,split_13
350,0.6967909085124784,opticlust_denovo,split_13
30,0.6950732348782397,opticlust_denovo,split_14
68,0.7056581289115686,opticlust_denovo,split_14
137,0.7115802498883352,opticlust_denovo,split_14
274,0.7169369639616398,opticlust_denovo,split_14
350,0.7174759730430762,opticlust_denovo,split_14
30,0.6830830925190596,opticlust_denovo,split_15
68,0.6960549662991389,opticlust_denovo,split_15
137,0.702979140087933,opticlust_denovo,split_15
274,0.7080918816585321,opticlust_denovo,split_15
350,0.7073528317290367,opticlust_denovo,split_15
30,0.6902499653889064,opticlust_denovo,split_16
68,0.6979471944606049,opticlust_denovo,split_16
137,0.7020772018806776,opticlust_denovo,split_16
274,0.7043609851465781,opticlust_denovo,split_16
350,0.7045659032743987,opticlust_denovo,split_16
30,0.6913749765574838,opticlust_denovo,split_17
68,0.7001128788058452,opticlust_denovo,split_17
137,0.704507657505822,opticlust_denovo,split_17
274,0.7074340854518253,opticlust_denovo,split_17
350,0.7095077976021442,opticlust_denovo,split_17
30,0.6832185984726136,opticlust_denovo,split_18
68,0.6896584119952472,opticlust_denovo,split_18
137,0.6902108598361951,opticlust_denovo,split_18
274,0.6913020987950466,opticlust_denovo,split_18
350,0.6893982528253331,opticlust_denovo,split_18
30,0.6955762386753926,opticlust_denovo,split_19
68,0.7010386689162291,opticlust_denovo,split_19
137,0.7053902548041666,opticlust_denovo,split_19
274,0.7050287609525734,opticlust_denovo,split_19
350,0.7070085598518083,opticlust_denovo,split_19
30,0.6757150021509608,opticlust_denovo,split_20
68,0.6842564744929336,opticlust_denovo,split_20
137,0.6892051593300745,opticlust_denovo,split_20
274,0.6899206389365969,opticlust_denovo,split_20
350,0.6896805444709633,opticlust_denovo,split_20
30,0.6998843559883839,opticlust_denovo,split_21
68,0.7062621166338791,opticlust_denovo,split_21
137,0.7094735382908776,opticlust_denovo,split_21
274,0.7088033841813792,opticlust_denovo,split_21
350,0.7067041889999591,opticlust_denovo,split_21
30,0.6652273901857081,opticlust_denovo,split_22
68,0.6753962155504925,opticlust_denovo,split_22
137,0.6823556422843255,opticlust_denovo,split_22
274,0.6835998630354877,opticlust_denovo,split_22
350,0.6855329369258807,opticlust_denovo,split_22
30,0.6933467235078891,opticlust_denovo,split_23
68,0.7019762463082901,opticlust_denovo,split_23
137,0.7127403964296284,opticlust_denovo,split_23
274,0.7144788802208729,opticlust_denovo,split_23
350,0.7149151700522567,opticlust_denovo,split_23
30,0.6687658807893092,opticlust_denovo,split_24
68,0.6765699581210743,opticlust_denovo,split_24
137,0.6813271501587788,opticlust_denovo,split_24
274,0.6852770298642911,opticlust_denovo,split_24
350,0.6856850038017256,opticlust_denovo,split_24
30,0.6729124521223023,opticlust_denovo,split_25
68,0.6780928593994714,opticlust_denovo,split_25
137,0.6845806119422874,opticlust_denovo,split_25
274,0.6873647957088304,opticlust_denovo,split_25
350,0.6852574614501863,opticlust_denovo,split_25
30,0.703282025351994,opticlust_denovo,split_26
68,0.7094281123593023,opticlust_denovo,split_26
137,0.713201066156431,opticlust_denovo,split_26
274,0.7170664194135171,opticlust_denovo,split_26
350,0.7173450268173432,opticlust_denovo,split_26
30,0.7021815698626225,opticlust_denovo,split_27
68,0.709616333989846,opticlust_denovo,split_27
137,0.7150135692808002,opticlust_denovo,split_27
274,0.7174536693653896,opticlust_denovo,split_27
350,0.7168408787731911,opticlust_denovo,split_27
30,0.6755480514687902,opticlust_denovo,split_28
68,0.6794988699885416,opticlust_denovo,split_28
137,0.6830971938484169,opticlust_denovo,split_28
274,0.6832555565405263,opticlust_denovo,split_28
350,0.6827564883699546,opticlust_denovo,split_28
30,0.7060060468121556,opticlust_denovo,split_29
68,0.7128471940911171,opticlust_denovo,split_29
137,0.7187938063944879,opticlust_denovo,split_29
274,0.7226989693408117,opticlust_denovo,split_29
350,0.7231963563413373,opticlust_denovo,split_29
30,0.7034344813919547,opticlust_denovo,split_30
68,0.7116269239642149,opticlust_denovo,split_30
137,0.7164569246019785,opticlust_denovo,split_30
274,0.7206312807611733,opticlust_denovo,split_30
350,0.7216782776264293,opticlust_denovo,split_30
30,0.6848557320100953,opticlust_denovo,split_31
68,0.6915671948455685,opticlust_denovo,split_31
137,0.6990444627145017,opticlust_denovo,split_31
274,0.6999614705223073,opticlust_denovo,split_31
350,0.6990853819132539,opticlust_denovo,split_31
30,0.6818600372157549,opticlust_denovo,split_32
68,0.688125643793408,opticlust_denovo,split_32
137,0.6892446201873728,opticlust_denovo,split_32
274,0.6904825524769332,opticlust_denovo,split_32
350,0.691612095539069,opticlust_denovo,split_32
30,0.6774498548987182,opticlust_denovo,split_33
68,0.6832148132845192,opticlust_denovo,split_33
137,0.687272997781858,opticlust_denovo,split_33
274,0.69094652667477785,opticlust_denovo,split_33
350,0.6924434852942227,opticlust_denovo,split_33
30,0.6808128506892764,opticlust_denovo,split_34
68,0.6907153659137248,opticlust_denovo,split_34
137,0.6983791461234001,opticlust_denovo,split_34
274,0.7027093076746114,opticlust_denovo,split_34
350,0.7044901835872283,opticlust_denovo,split_34
30,0.6800245109623354,opticlust_denovo,split_35
68,0.6824221230571561,opticlust_denovo,split_35
137,0.6827697117941066,opticlust_denovo,split_35
274,0.6816838335534336,opticlust_denovo,split_35
350,0.680704657194757,opticlust_denovo,split_35
30,0.6822113612715317,opticlust_denovo,split_36
68,0.691234818012166,opticlust_denovo,split_36
137,0.6926336371856893,opticlust_denovo,split_36
274,0.6945624946608123,opticlust_denovo,split_36
350,0.6928221637055572,opticlust_denovo,split_36
30,0.6775536666919271,opticlust_denovo,split_37
68,0.683736240692089,opticlust_denovo,split_37
137,0.6884211162071918,opticlust_denovo,split_37
274,0.6921124589996842,opticlust_denovo,split_37
350,0.6917219548196207,opticlust_denovo,split_37
30,0.7045977745504153,opticlust_denovo,split_38
68,0.7106837291722286,opticlust_denovo,split_38
137,0.714295129812293,opticlust_denovo,split_38
274,0.7184123047551294,opticlust_denovo,split_38
350,0.7179194503592663,opticlust_denovo,split_38
30,0.681791834397643,opticlust_denovo,split_39
68,0.6886140712491451,opticlust_denovo,split_39
137,0.6923875985641501,opticlust_denovo,split_39
274,0.6948074915134973,opticlust_denovo,split_39
350,0.6946551967727498,opticlust_denovo,split_39
30,0.6966059281623234,opticlust_denovo,split_40
68,0.7040168870812737,opticlust_denovo,split_40
137,0.7086505736949708,opticlust_denovo,split_40
274,0.7121202111889965,opticlust_denovo,split_40
350,0.7116894529316645,opticlust_denovo,split_40
30,0.6851293277658993,opticlust_denovo,split_41
68,0.6919497375831898,opticlust_denovo,split_41
137,0.6965565588552112,opticlust_denovo,split_41
274,0.6983012253773858,opticlust_denovo,split_41
350,0.6986470169074778,opticlust_denovo,split_41
30,0.7005272534071626,opticlust_denovo,split_42
68,0.7072022543991572,opticlust_denovo,split_42
137,0.7096442087006843,opticlust_denovo,split_42
274,0.7080497930608767,opticlust_denovo,split_42
350,0.7081676105368048,opticlust_denovo,split_42
30,0.7054957188289298,opticlust_denovo,split_43
68,0.7116916401652875,opticlust_denovo,split_43
137,0.7173665303404563,opticlust_denovo,split_43
274,0.7189484118374752,opticlust_denovo,split_43
350,0.7201827378466191,opticlust_denovo,split_43
30,0.6807905284642185,opticlust_denovo,split_44
68,0.6866233475117763,opticlust_denovo,split_44
137,0.6931371264564977,opticlust_denovo,split_44
274,0.695739698119329,opticlust_denovo,split_44
350,0.6944245927242857,opticlust_denovo,split_44
30,0.6873583546337156,opticlust_denovo,split_45
68,0.6939842979659526,opticlust_denovo,split_45
137,0.698216098447132,opticlust_denovo,split_45
274,0.6998788705014974,opticlust_denovo,split_45
350,0.7003963904933161,opticlust_denovo,split_45
30,0.6941925576517605,opticlust_denovo,split_46
68,0.7017399801396976,opticlust_denovo,split_46
137,0.7095795251123593,opticlust_denovo,split_46
274,0.7131225618544217,opticlust_denovo,split_46
350,0.713869867435297,opticlust_denovo,split_46
30,0.6903775274986456,opticlust_denovo,split_47
68,0.6999762923181332,opticlust_denovo,split_47
137,0.7012592856405299,opticlust_denovo,split_47
274,0.7026057107919845,opticlust_denovo,split_47
350,0.7023853640817987,opticlust_denovo,split_47
30,0.6975876488507564,opticlust_denovo,split_48
68,0.7035426900616116,opticlust_denovo,split_48
137,0.7082824683300504,opticlust_denovo,split_48
274,0.7077412891566327,opticlust_denovo,split_48
350,0.7094688996104034,opticlust_denovo,split_48
30,0.6768001229373084,opticlust_denovo,split_49
68,0.6850112772678678,opticlust_denovo,split_49
137,0.691433497630477,opticlust_denovo,split_49
274,0.693142785415448,opticlust_denovo,split_49
350,0.6923868908489907,opticlust_denovo,split_49
30,0.6780666972960335,opticlust_denovo,split_50
68,0.6858613305743821,opticlust_denovo,split_50
137,0.6900987319090125,opticlust_denovo,split_50
274,0.6941081685239266,opticlust_denovo,split_50
350,0.6940886228541817,opticlust_denovo,split_50
30,0.6663542107227415,opticlust_denovo,split_51
68,0.6723165054136848,opticlust_denovo,split_51
137,0.678451137769881,opticlust_denovo,split_51
274,0.6817760012634319,opticlust_denovo,split_51
350,0.6836709236170352,opticlust_denovo,split_51
30,0.6556598180928233,opticlust_denovo,split_52
68,0.6621346301776746,opticlust_denovo,split_52
137,0.6674823222324309,opticlust_denovo,split_52
274,0.6699343981490876,opticlust_denovo,split_52
350,0.6692464019483443,opticlust_denovo,split_52
30,0.6817442012929438,opticlust_denovo,split_53
68,0.6882191555946331,opticlust_denovo,split_53
137,0.6947503619876346,opticlust_denovo,split_53
274,0.6945330679318452,opticlust_denovo,split_53
350,0.6961113828486006,opticlust_denovo,split_53
30,0.6893476259236216,opticlust_denovo,split_54
68,0.6980271181612889,opticlust_denovo,split_54
137,0.7047102269526123,opticlust_denovo,split_54
274,0.7056786167916249,opticlust_denovo,split_54
350,0.7064692902932016,opticlust_denovo,split_54
30,0.7066844436623363,opticlust_denovo,split_55
68,0.7161955470622614,opticlust_denovo,split_55
137,0.7212447449147319,opticlust_denovo,split_55
274,0.723248179968026,opticlust_denovo,split_55
350,0.7226205725181255,opticlust_denovo,split_55
30,0.71469573188788,opticlust_denovo,split_56
68,0.7241309604831556,opticlust_denovo,split_56
137,0.7283102448174937,opticlust_denovo,split_56
274,0.7284143765594804,opticlust_denovo,split_56
350,0.7284321113835032,opticlust_denovo,split_56
30,0.6796625697357417,opticlust_denovo,split_57
68,0.6847706518157711,opticlust_denovo,split_57
137,0.6895420171711877,opticlust_denovo,split_57
274,0.690279816212408,opticlust_denovo,split_57
350,0.6918485661597142,opticlust_denovo,split_57
30,0.6933825573739688,opticlust_denovo,split_58
68,0.6975553465060325,opticlust_denovo,split_58
137,0.6984289494450101,opticlust_denovo,split_58
274,0.6987170472903814,opticlust_denovo,split_58
350,0.6986510972458037,opticlust_denovo,split_58
30,0.6911476245189958,opticlust_denovo,split_59
68,0.6994847342733803,opticlust_denovo,split_59
137,0.7054161854053133,opticlust_denovo,split_59
274,0.7071415430117246,opticlust_denovo,split_59
350,0.7072305526517471,opticlust_denovo,split_59
30,0.6781138581309839,opticlust_denovo,split_60
68,0.6860645933734919,opticlust_denovo,split_60
137,0.6896357113511278,opticlust_denovo,split_60
274,0.6900719438266545,opticlust_denovo,split_60
350,0.68877815769197,opticlust_denovo,split_60
30,0.6937118712172499,opticlust_denovo,split_61
68,0.698788881825015,opticlust_denovo,split_61
137,0.7030093430262828,opticlust_denovo,split_61
274,0.7031368603254153,opticlust_denovo,split_61
350,0.7026359711849361,opticlust_denovo,split_61
30,0.694517923542091,opticlust_denovo,split_62
68,0.7011496304245759,opticlust_denovo,split_62
137,0.7047322130164739,opticlust_denovo,split_62
274,0.7045512729927325,opticlust_denovo,split_62
350,0.704820559368829,opticlust_denovo,split_62
30,0.6931773370396905,opticlust_denovo,split_63
68,0.7009744725328053,opticlust_denovo,split_63
137,0.705443064335263,opticlust_denovo,split_63
274,0.7068181760944398,opticlust_denovo,split_63
350,0.7079948422328537,opticlust_denovo,split_63
30,0.7077801681593959,opticlust_denovo,split_64
68,0.7172624181258006,opticlust_denovo,split_64
137,0.7229277481379662,opticlust_denovo,split_64
274,0.724896813137621,opticlust_denovo,split_64
350,0.724081290570151,opticlust_denovo,split_64
30,0.6719650340829151,opticlust_denovo,split_65
68,0.6801908666566917,opticlust_denovo,split_65
137,0.6862993995254913,opticlust_denovo,split_65
274,0.6878442434578594,opticlust_denovo,split_65
350,0.6884916034364391,opticlust_denovo,split_65
30,0.6980079474717051,opticlust_denovo,split_66
68,0.7055083426247951,opticlust_denovo,split_66
137,0.7101012783463995,opticlust_denovo,split_66
274,0.7141489289438008,opticlust_denovo,split_66
350,0.71298230438623,opticlust_denovo,split_66
30,0.6661378841162154,opticlust_denovo,split_67
68,0.6724388203594253,opticlust_denovo,split_67
137,0.6734321229900543,opticlust_denovo,split_67
274,0.6766606819076456,opticlust_denovo,split_67
350,0.6762643228237863,opticlust_denovo,split_67
30,0.6822171526325638,opticlust_denovo,split_68
68,0.6889645054766156,opticlust_denovo,split_68
137,0.6964069668174456,opticlust_denovo,split_68
274,0.700561018012627,opticlust_denovo,split_68
350,0.7002945854924257,opticlust_denovo,split_68
30,0.6841804735954604,opticlust_denovo,split_69
68,0.690353547738558,opticlust_denovo,split_69
137,0.6950058316982103,opticlust_denovo,split_69
274,0.6964756076410322,opticlust_denovo,split_69
350,0.6983075268800987,opticlust_denovo,split_69
30,0.6684399809642048,opticlust_denovo,split_70
68,0.6726767624472314,opticlust_denovo,split_70
137,0.6767891971997395,opticlust_denovo,split_70
274,0.679343491100349,opticlust_denovo,split_70
350,0.6796889761859838,opticlust_denovo,split_70
30,0.6849159819343188,opticlust_denovo,split_71
68,0.6929062659494664,opticlust_denovo,split_71
137,0.6969191369507568,opticlust_denovo,split_71
274,0.6961630131009793,opticlust_denovo,split_71
350,0.6976869438247788,opticlust_denovo,split_71
30,0.671374210848284,opticlust_denovo,split_72
68,0.6810786010386535,opticlust_denovo,split_72
137,0.6836006698739499,opticlust_denovo,split_72
274,0.6848660195903242,opticlust_denovo,split_72
350,0.6860274221165609,opticlust_denovo,split_72
30,0.6792323744051697,opticlust_denovo,split_73
68,0.6852147050674876,opticlust_denovo,split_73
137,0.6902320792521938,opticlust_denovo,split_73
274,0.6914451736192117,opticlust_denovo,split_73
350,0.69050842774722,opticlust_denovo,split_73
30,0.6779041594845016,opticlust_denovo,split_74
68,0.6840181475961874,opticlust_denovo,split_74
137,0.6880598391609127,opticlust_denovo,split_74
274,0.6903906872406049,opticlust_denovo,split_74
350,0.6895167335027069,opticlust_denovo,split_74
30,0.7061710730850255,opticlust_denovo,split_75
68,0.7151241837125751,opticlust_denovo,split_75
137,0.7206663590031376,opticlust_denovo,split_75
274,0.7233356207017367,opticlust_denovo,split_75
350,0.7237743200063584,opticlust_denovo,split_75
30,0.6723526004755527,opticlust_denovo,split_76
68,0.6773436665610362,opticlust_denovo,split_76
137,0.6833213565309793,opticlust_denovo,split_76
274,0.6813224109427116,opticlust_denovo,split_76
350,0.6811057326893069,opticlust_denovo,split_76
30,0.7064659251603753,opticlust_denovo,split_77
68,0.7133732145268806,opticlust_denovo,split_77
137,0.7194859797013041,opticlust_denovo,split_77
274,0.7232681224424932,opticlust_denovo,split_77
350,0.7231311414535118,opticlust_denovo,split_77
30,0.6962203759586506,opticlust_denovo,split_78
68,0.7044830765575352,opticlust_denovo,split_78
137,0.7083371262032591,opticlust_denovo,split_78
274,0.7100882113020862,opticlust_denovo,split_78
350,0.7096375683197157,opticlust_denovo,split_78
30,0.6795413078103748,opticlust_denovo,split_79
68,0.6854043937779996,opticlust_denovo,split_79
137,0.6876489607861515,opticlust_denovo,split_79
274,0.6890651743063881,opticlust_denovo,split_79
350,0.6891623947615284,opticlust_denovo,split_79
30,0.6665284710363897,opticlust_denovo,split_80
68,0.6740039544251576,opticlust_denovo,split_80
137,0.6780303998481452,opticlust_denovo,split_80
274,0.6770957205148846,opticlust_denovo,split_80
350,0.6771884359847113,opticlust_denovo,split_80
30,0.6955587270698841,opticlust_denovo,split_81
68,0.7018173644897333,opticlust_denovo,split_81
137,0.7063326944661371,opticlust_denovo,split_81
274,0.7060294313504648,opticlust_denovo,split_81
350,0.7061552433056786,opticlust_denovo,split_81
30,0.6879739931685122,opticlust_denovo,split_82
68,0.6965645444388905,opticlust_denovo,split_82
137,0.7024781340909493,opticlust_denovo,split_82
274,0.7054331420150012,opticlust_denovo,split_82
350,0.7039699906867978,opticlust_denovo,split_82
30,0.6900411862515177,opticlust_denovo,split_83
68,0.6966541153874107,opticlust_denovo,split_83
137,0.7006799802050049,opticlust_denovo,split_83
274,0.7041385821062408,opticlust_denovo,split_83
350,0.7014824344415311,opticlust_denovo,split_83
30,0.6850244205347273,opticlust_denovo,split_84
68,0.6932757510605386,opticlust_denovo,split_84
137,0.6954120177648464,opticlust_denovo,split_84
274,0.697305682405466,opticlust_denovo,split_84
350,0.6989623848980286,opticlust_denovo,split_84
30,0.6694074494676105,opticlust_denovo,split_85
68,0.6783066140539279,opticlust_denovo,split_85
137,0.6837102867511968,opticlust_denovo,split_85
274,0.683300886025917,opticlust_denovo,split_85
350,0.6845584660166354,opticlust_denovo,split_85
30,0.6732154401292717,opticlust_denovo,split_86
68,0.6819076423918266,opticlust_denovo,split_86
137,0.6865793383748368,opticlust_denovo,split_86
274,0.6892443162874883,opticlust_denovo,split_86
350,0.6905069986781952,opticlust_denovo,split_86
30,0.6542852011621404,opticlust_denovo,split_87
68,0.6617185656204441,opticlust_denovo,split_87
137,0.6651009781063196,opticlust_denovo,split_87
274,0.6658997521205198,opticlust_denovo,split_87
350,0.6643984972271448,opticlust_denovo,split_87
30,0.702847110284167,opticlust_denovo,split_88
68,0.7114477639584493,opticlust_denovo,split_88
137,0.7164860091626342,opticlust_denovo,split_88
274,0.7197729776490625,opticlust_denovo,split_88
350,0.7214192329377299,opticlust_denovo,split_88
30,0.6820250294014303,opticlust_denovo,split_89
68,0.6871878428721798,opticlust_denovo,split_89
137,0.6919739735287861,opticlust_denovo,split_89
274,0.693095875330925,opticlust_denovo,split_89
350,0.6934142548974285,opticlust_denovo,split_89
30,0.6647090808864539,opticlust_denovo,split_90
68,0.66956722442995,opticlust_denovo,split_90
137,0.6707483217377816,opticlust_denovo,split_90
274,0.671453066852366,opticlust_denovo,split_90
350,0.6712816101043494,opticlust_denovo,split_90
30,0.6887749492300854,opticlust_denovo,split_91
68,0.6995844455918027,opticlust_denovo,split_91
137,0.7024862186225169,opticlust_denovo,split_91
274,0.7047089014811696,opticlust_denovo,split_91
350,0.7046121691503686,opticlust_denovo,split_91
30,0.7013049099245431,opticlust_denovo,split_92
68,0.7116385777360796,opticlust_denovo,split_92
137,0.7193362734727036,opticlust_denovo,split_92
274,0.7258569956331055,opticlust_denovo,split_92
350,0.7262683346910357,opticlust_denovo,split_92
30,0.6748272450213578,opticlust_denovo,split_93
68,0.6826048511311025,opticlust_denovo,split_93
137,0.6862409418010699,opticlust_denovo,split_93
274,0.6857510025663701,opticlust_denovo,split_93
350,0.6854003520308409,opticlust_denovo,split_93
30,0.6827006229572268,opticlust_denovo,split_94
68,0.685859742630973,opticlust_denovo,split_94
137,0.6854330179529922,opticlust_denovo,split_94
274,0.6834144872686739,opticlust_denovo,split_94
350,0.6817989924978293,opticlust_denovo,split_94
30,0.6547085746189762,opticlust_denovo,split_95
68,0.6618912740919183,opticlust_denovo,split_95
137,0.6682203882877621,opticlust_denovo,split_95
274,0.67461099238789,opticlust_denovo,split_95
350,0.6744959563401351,opticlust_denovo,split_95
30,0.7037342572942902,opticlust_denovo,split_96
68,0.7129659624666161,opticlust_denovo,split_96
137,0.7171909018552998,opticlust_denovo,split_96
274,0.7188608829920152,opticlust_denovo,split_96
350,0.718593342447923,opticlust_denovo,split_96
30,0.6697448448100701,opticlust_denovo,split_97
68,0.6791899591303017,opticlust_denovo,split_97
137,0.6820676859431949,opticlust_denovo,split_97
274,0.6820161875383689,opticlust_denovo,split_97
350,0.6828486794951317,opticlust_denovo,split_97
30,0.6881859515056299,opticlust_denovo,split_98
68,0.695808311178389,opticlust_denovo,split_98
137,0.7013195264925288,opticlust_denovo,split_98
274,0.7071476363585815,opticlust_denovo,split_98
350,0.7088757701713015,opticlust_denovo,split_98
30,0.6538549767582367,opticlust_denovo,split_99
68,0.660964019639821,opticlust_denovo,split_99
137,0.6630602471021358,opticlust_denovo,split_99
274,0.6664456378144451,opticlust_denovo,split_99
350,0.6649489380028903,opticlust_denovo,split_99
30,0.6888063298517553,opticlust_denovo,split_100
68,0.6976961211264642,opticlust_denovo,split_100
137,0.6980296909596013,opticlust_denovo,split_100
274,0.6992186356703823,opticlust_denovo,split_100
350,0.6966124034252192,opticlust_denovo,split_100
30,0.6573376933963115,optifit_self,split_1
68,0.6627095277045788,optifit_self,split_1
137,0.6680858215693632,optifit_self,split_1
274,0.6716215441083732,optifit_self,split_1
350,0.6717671878458772,optifit_self,split_1
30,0.6830883624950849,optifit_self,split_2
68,0.6877446055812277,optifit_self,split_2
137,0.690899054884044,optifit_self,split_2
274,0.6911387781058217,optifit_self,split_2
350,0.6897041530960604,optifit_self,split_2
30,0.6802619921239498,optifit_self,split_3
68,0.6830925321891379,optifit_self,split_3
137,0.6837600634722673,optifit_self,split_3
274,0.6843335576262634,optifit_self,split_3
350,0.6836187495575562,optifit_self,split_3
30,0.6567500114677327,optifit_self,split_4
68,0.6603874400391989,optifit_self,split_4
137,0.6647629217112447,optifit_self,split_4
274,0.6697668085098546,optifit_self,split_4
350,0.6691947147449057,optifit_self,split_4
30,0.674344035888225,optifit_self,split_5
68,0.6791531965131026,optifit_self,split_5
137,0.6824095704394354,optifit_self,split_5
274,0.6845621210449696,optifit_self,split_5
350,0.6828641885981027,optifit_self,split_5
30,0.6705070355130175,optifit_self,split_6
68,0.6773410342202356,optifit_self,split_6
137,0.684535887570617,optifit_self,split_6
274,0.6895189965484999,optifit_self,split_6
350,0.6890326213847403,optifit_self,split_6
30,0.6843419339772134,optifit_self,split_7
68,0.6896201813197065,optifit_self,split_7
137,0.6921076312071951,optifit_self,split_7
274,0.693104421767145,optifit_self,split_7
350,0.6920618689977911,optifit_self,split_7
30,0.6810434370588299,optifit_self,split_8
68,0.6860107572478534,optifit_self,split_8
137,0.6876828348385868,optifit_self,split_8
274,0.6890227675793187,optifit_self,split_8
350,0.6880461135919685,optifit_self,split_8
30,0.6868447746449668,optifit_self,split_9
68,0.6985398798539953,optifit_self,split_9
137,0.7054476367149907,optifit_self,split_9
274,0.70763808211551,optifit_self,split_9
350,0.7081615316936288,optifit_self,split_9
30,0.6814179853118393,optifit_self,split_10
68,0.6904801218437813,optifit_self,split_10
137,0.694313271368113,optifit_self,split_10
274,0.6966856420008503,optifit_self,split_10
350,0.6972347678392792,optifit_self,split_10
30,0.6915124047058117,optifit_self,split_11
68,0.7012627151655924,optifit_self,split_11
137,0.7102230478662007,optifit_self,split_11
274,0.7147820009726715,optifit_self,split_11
350,0.7173567109804027,optifit_self,split_11
30,0.6810083342293705,optifit_self,split_12
68,0.6876088205021156,optifit_self,split_12
137,0.692493768719436,optifit_self,split_12
274,0.6957456464910214,optifit_self,split_12
350,0.695959545646135,optifit_self,split_12
30,0.6607005129096373,optifit_self,split_13
68,0.6685140054347073,optifit_self,split_13
137,0.6733872595037613,optifit_self,split_13
274,0.6770328894201765,optifit_self,split_13
350,0.6781882466756332,optifit_self,split_13
30,0.6830549210945529,optifit_self,split_14
68,0.6911094429109288,optifit_self,split_14
137,0.6947369385445783,optifit_self,split_14
274,0.6971458784409089,optifit_self,split_14
350,0.6960920154226916,optifit_self,split_14
30,0.6843919631811108,optifit_self,split_15
68,0.6912615795207625,optifit_self,split_15
137,0.6937116370405193,optifit_self,split_15
274,0.6974892580568735,optifit_self,split_15
350,0.6976785760081008,optifit_self,split_15
30,0.686297706619963,optifit_self,split_16
68,0.694248903096129,optifit_self,split_16
137,0.6998497163966819,optifit_self,split_16
274,0.7005831311186601,optifit_self,split_16
350,0.7005217378863058,optifit_self,split_16
30,0.6982291472658344,optifit_self,split_17
68,0.7037143612402705,optifit_self,split_17
137,0.7047000816804047,optifit_self,split_17
274,0.7064900580759444,optifit_self,split_17
350,0.7060475811055988,optifit_self,split_17
30,0.6786622597801786,optifit_self,split_18
68,0.6815995323948801,optifit_self,split_18
137,0.6841525783596788,optifit_self,split_18
274,0.6845655555018489,optifit_self,split_18
350,0.6820782703336475,optifit_self,split_18
30,0.6992832565588373,optifit_self,split_19
68,0.7045900381894395,optifit_self,split_19
137,0.7090256256694365,optifit_self,split_19
274,0.7118008492384849,optifit_self,split_19
350,0.7110220815984513,optifit_self,split_19
30,0.6735393635098249,optifit_self,split_20
